"unique_id","season","team","team_nick","team_name","team_logo_espn","team_color","pass_rate","rush_rate","proe","personnel_11","personnel_12","personnel_13","personnel_21","personnel_22","personnel_other","form_shotgun","form_single","form_iform","form_empty","form_other","adot","to_sticks","pass_left","pass_middle","pass_right","wr_target","te_target","rb_target","run_left","run_right","run_guard","run_tackle","run_end","go_fourth","go_two","rec_gini","rush_gini","personnel_gini","formation_gini","play_clock_used","plays_per_minute","avg_top","no_huddle"
"ARI_2024","2024","ARI","Cardinals","Arizona Cardinals","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","#97233F","0.5945683802133851","0.40543161978661496","-2.4529538645029243","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","6.821033210332104","-1.8892988929889298","0.4317343173431734","0.1881918819188192","0.3800738007380074","0.4780114722753346","0.3403441682600382","0.18164435946462715","0.5759717314487632","0.42402826855123676","0.17667844522968199","0.36395759717314485","0.45936395759717313","0.17475728155339806","0.11904761904761904","0.7658540471637986","0.8229665071770335","","","40.0","","29:39","0.1037827352085354"
"ATL_2024","2024","ATL","Falcons","Atlanta Falcons","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png","#A71930","0.5554520037278659","0.4445479962721342","-8.089095704611786","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.046846846846847","-1.2378378378378379","0.3801801801801802","0.22522522522522523","0.3945945945945946","0.6814814814814815","0.16111111111111112","0.1574074074074074","0.4715261958997722","0.5284738041002278","0.21184510250569477","0.3712984054669704","0.4168564920273349","0.2672413793103448","0.09523809523809523","0.7952226345083488","0.8926404060465629","","","40.0","","29:40","0.14631873252562907"
"BAL_2024","2024","BAL","Ravens","Baltimore Ravens","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png","#241773","0.5226179018286814","0.4773820981713186","-7.518294051467181","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.811440677966102","-0.673728813559322","0.3855932203389831","0.2457627118644068","0.3686440677966102","0.5218340611353712","0.30131004366812225","0.17685589519650655","0.5507900677200903","0.4492099322799097","0.32505643340857787","0.23476297968397292","0.4401805869074492","0.15625","0.046153846153846156","0.736597374179431","0.8692699490662139","","","40.0","","30:57","0.0548604427333975"
"BUF_2024","2024","BUF","Bills","Buffalo Bills","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png","#00338D","0.5761194029850746","0.42388059701492536","-2.0067293748406376","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.211946050096339","-0.8227360308285164","0.4161849710982659","0.16377649325626203","0.42003853564547206","0.5967741935483871","0.23790322580645162","0.16532258064516128","0.5097493036211699","0.49025069637883006","0.39275766016713093","0.3203342618384401","0.28690807799442897","0.20952380952380953","0.015384615384615385","0.6686026936026936","0.8445762293056585","","","40.0","","29:42","0.06368159203980099"
"CAR_2024","2024","CAR","Panthers","Carolina Panthers","https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png","#0085CA","0.6362715298885512","0.3637284701114488","-2.215233118678862","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.160877513711151","-0.4570383912248629","0.3510054844606947","0.21206581352833637","0.4369287020109689","0.6608863198458574","0.16570327552986513","0.17341040462427745","0.5675675675675675","0.43243243243243246","0.40540540540540543","0.30405405405405406","0.2905405405405405","0.23622047244094488","0.07894736842105263","0.6237129987129987","0.8670282949714118","","","40.0","","27:50","0.07193515704154002"
"CHI_2024","2024","CHI","Bears","Chicago Bears","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","#0B162A","0.6515580736543909","0.34844192634560905","-2.419973808636797","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","8.067615658362989","-1.0516014234875444","0.36298932384341637","0.19217081850533807","0.44483985765124556","0.7145522388059702","0.13619402985074627","0.14925373134328357","0.4969512195121951","0.5030487804878049","0.3048780487804878","0.2225609756097561","0.4725609756097561","0.2676056338028169","0.2777777777777778","0.7889733840304183","0.872058194266153","","","40.0","","29:48","0.2577903682719547"
"CIN_2024","2024","CIN","Bengals","Cincinnati Bengals","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","#FB4F14","0.676333021515435","0.323666978484565","8.167231782429644","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","7.087557603686636","-1.0199692780337941","0.36251920122887865","0.22119815668202766","0.4162826420890937","0.5914149443561209","0.2480127186009539","0.16057233704292528","0.4943820224719101","0.5056179775280899","0.4606741573033708","0.2958801498127341","0.24344569288389514","0.18269230769230768","0.05357142857142857","0.7269108280254777","0.892607240644965","","","40.0","","30:48","0.029934518241347054"
"CLE_2024","2024","CLE","Browns","Cleveland Browns","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","#FF3C00","0.6868867082961642","0.31311329170383584","0.3955095502425877","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","7.786363636363636","-1.5196969696969698","0.40454545454545454","0.20606060606060606","0.3893939393939394","0.6021840873634945","0.2620904836193448","0.1357254290171607","0.5182724252491694","0.48172757475083056","0.3388704318936877","0.34551495016611294","0.31561461794019935","0.27672955974842767","0.27586206896551724","0.6912460567823344","0.7734292997450892","","","40.0","","30:07","0.15165031222123104"
"DAL_2024","2024","DAL","Cowboys","Dallas Cowboys","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png","#002244","0.6273972602739726","0.3726027397260274","-2.438992028369963","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","7.389589905362776","-1.4873817034700316","0.305993690851735","0.2334384858044164","0.4605678233438486","0.6414790996784566","0.21864951768488747","0.13987138263665594","0.5694444444444444","0.4305555555555556","0.40625","0.2777777777777778","0.3159722222222222","0.21052631578947367","0.09090909090909091","0.6694801714898178","0.8010835913312694","","","40.0","","29:08","0.08858447488584476"
"DEN_2024","2024","DEN","Broncos","Denver Broncos","https://a.espncdn.com/i/teamlogos/nfl/500/den.png","#002244","0.6213872832369942","0.3786127167630058","0.5193726012150434","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","7.258347978910369","-1.601054481546573","0.3866432337434095","0.20210896309314588","0.4112478031634446","0.6545454545454545","0.13090909090909092","0.21454545454545454","0.4318181818181818","0.5681818181818182","0.42045454545454547","0.25","0.32954545454545453","0.16666666666666666","0.02127659574468085","0.6552064359441409","0.800589259408062","","","40.0","","29:42","0.13391136801541426"
"DET_2024","2024","DET","Lions","Detroit Lions","https://a.espncdn.com/i/teamlogos/nfl/500/det.png","#0076B6","0.543221110100091","0.456778889899909","-3.4476744227256155","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","6.368613138686132","-2.0346715328467155","0.29927007299270075","0.3175182481751825","0.38321167883211676","0.5961538461538461","0.19230769230769232","0.21153846153846154","0.53125","0.46875","0.16666666666666666","0.4557291666666667","0.3776041666666667","0.32038834951456313","0.028985507246376812","0.7496807151979565","0.8592996435311386","","","40.0","","32:16","0.036396724294813464"
